,Year,County,Total Population,Total Crime,Classification,Orig_DF
19,2016,chelan,75910,2716,Metropolitan,Properties
20,2012,clallam,72000,4202,Micropolitan,Properties
21,2013,clallam,72350,4025,Micropolitan,Properties
22,2014,clallam,72500,3642,Micropolitan,Properties
23,2015,clallam,72650,3937,Micropolitan,Properties
24,2016,clallam,73410,3284,Micropolitan,Properties
25,2012,clark,431250,18270,Metropolitan,Properties
26,2013,clark,435500,16149,Metropolitan,Properties
27,2013,garfield,2250,79,Noncore,Properties
28,2014,clark,442800,14698,Metropolitan,Properties
29,2015,clark,451820,17120,Metropolitan,Properties
30,2016,clark,461010,16550,Metropolitan,Properties
31,2012,columbia,4100,268,Metropolitan,Properties
32,2013,columbia,4100,301,Metropolitan,Properties
33,2014,columbia,4080,165,Metropolitan,Properties
34,2015,columbia,4090,109,Metropolitan,Properties
35,2016,columbia,4050,204,Metropolitan,Properties
36,2012,cowlitz,103050,6515,Metropolitan,Properties
37,2013,cowlitz,103300,6994,Metropolitan,Properties
38,2014,cowlitz,103700,6213,Metropolitan,Properties
39,2015,cowlitz,104280,5530,Metropolitan,Properties
40,2016,cowlitz,104850,5778,Metropolitan,Properties
41,2012,douglas,38900,1396,Metropolitan,Properties
42,2013,douglas,39280,1407,Metropolitan,Properties
43,2014,douglas,39700,1308,Metropolitan,Properties
44,2015,douglas,39990,1376,Metropolitan,Properties
45,2016,douglas,40720,1340,Metropolitan,Properties
46,2012,garfield,2250,93,Noncore,Properties
47,2012,ferry,7650,73,Noncore,Properties
48,2013,ferry,7650,97,Noncore,Properties
49,2014,ferry,7660,69,Noncore,Properties
50,2015,ferry,7710,60,Noncore,Properties
51,2016,ferry,7700,16,Noncore,Properties
52,2012,franklin,82500,3776,Metropolitan,Properties
53,2013,franklin,84800,3627,Metropolitan,Properties
54,2014,franklin,86600,3122,Metropolitan,Properties
55,2015,franklin,87150,3244,Metropolitan,Properties
56,2016,franklin,88670,3533,Metropolitan,Properties
57,2014,garfield,2240,67,Noncore,Properties
58,2015,garfield,2260,82,Noncore,Properties
59,2016,garfield,2200,120,Noncore,Properties
60,2012,grant,91000,6223,Micropolitan,Properties
61,2013,grant,91800,6698,Micropolitan,Properties
62,2014,grant,92900,6053,Micropolitan,Properties
63,2015,grant,93930,6274,Micropolitan,Properties
64,2016,grant,94610,6025,Micropolitan,Properties
65,2012,grays harbor,73150,2608,Micropolitan,Properties
66,2013,grays harbor,73200,3753,Micropolitan,Properties
67,2014,grays harbor,73300,3263,Micropolitan,Properties
68,2015,grays harbor,73110,3417,Micropolitan,Properties
69,2016,grays harbor,72820,2924,Micropolitan,Properties
70,2012,island,79350,2834,Micropolitan,Properties
71,2013,island,79700,2527,Micropolitan,Properties
72,2014,island,80000,2147,Micropolitan,Properties
73,2015,island,80600,1610,Micropolitan,Properties
74,2016,island,82910,1652,Micropolitan,Properties
75,2012,jefferson,30175,1313,Noncore,Properties
76,2013,jefferson,30275,1134,Noncore,Properties
77,2014,jefferson,30700,1370,Noncore,Properties
78,2015,jefferson,30880,1025,Noncore,Properties
79,2016,jefferson,31090,914,Noncore,Properties
80,2012,king,1957000,81818,Metropolitan,Properties
81,2013,king,1981900,98100,Metropolitan,Properties
82,2014,king,2017250,118597,Metropolitan,Properties
83,2015,king,2052800,121591,Metropolitan,Properties
84,2016,king,2105100,126301,Metropolitan,Properties
85,2012,kitsap,254500,13526,Metropolitan,Properties
86,2013,kitsap,254000,12455,Metropolitan,Properties
87,2014,kitsap,255900,11938,Metropolitan,Properties
88,2015,kitsap,258200,11294,Metropolitan,Properties
89,2016,kitsap,262590,11229,Metropolitan,Properties
90,2012,kittitas,41500,2505,Micropolitan,Properties
91,2013,kittitas,41900,2477,Micropolitan,Properties
92,2014,kittitas,42100,2068,Micropolitan,Properties
93,2015,kittitas,42670,1867,Micropolitan,Properties
94,2016,kittitas,43710,1699,Micropolitan,Properties
95,2012,klickitat,20600,577,Noncore,Properties
96,2013,klickitat,20700,573,Noncore,Properties
97,2014,klickitat,20850,499,Noncore,Properties
98,2015,klickitat,21000,675,Noncore,Properties
99,2016,klickitat,21270,403,Noncore,Properties
100,2012,lewis,76300,3547,Micropolitan,Properties
101,2013,lewis,76200,3037,Micropolitan,Properties
102,2014,lewis,76300,3347,Micropolitan,Properties
