Date,Sales,Excise Tax Due,Sales (Shelf Price)
9/2/2015,1817183.12,408523.86,2225706.98
9/3/2015,2550876.31,475107.46,3025983.77
9/4/2015,2751291.41,629004.98,3380296.39
9/5/2015,1656099.75,506688.26,2162788.01
9/6/2015,1257925.85,391247.18,1649173.03
9/7/2015,1374734.27,360607.16,1735341.43
9/8/2015,1933608.58,413677.06,2347285.64
9/9/2015,1708805.56,384777.99,2093583.55
9/10/2015,2338402.21,434483.63,2772885.84
9/11/2015,2372120.78,563909.19,2936029.97
9/12/2015,1555559.44,476278.43,2031837.87
9/13/2015,992183.87,325176.8,1317360.67
9/14/2015,1697781.6,383375.01,2081156.61
9/15/2015,1829255.6,421511.24,2250766.84
9/16/2015,1968674.62,397123.15,2365797.77
9/17/2015,2319805.76,425883.22,2745688.98
9/18/2015,2771257.7,626112.89,3397370.59
9/19/2015,1716716.78,495978.61,2212695.39
9/20/2015,1490576.49,516515.78,2007092.27
9/21/2015,1839400.26,470862.36,2310262.62
9/22/2015,2122859.46,516138.76,2638998.22
9/23/2015,2247485.4,410393.66,2657879.06
9/24/2015,2177777.34,419995.34,2597772.68
9/25/2015,2787071.08,604400.25,3391471.33
9/26/2015,1586874.01,499105.32,2085979.33
9/27/2015,1045466.6,343449.22,1388915.82
9/28/2015,1992314.56,388994.77,2381309.33
9/29/2015,2857863.29,725624.89,3583488.18
9/30/2015,2727496.41,570622.86,3298119.27
10/1/2015,2232892.87,492069.06,2724961.93
10/2/2015,2602857.06,626456.4,3229313.46
10/3/2015,1648666.3,512069.68,2160735.98
10/4/2015,1063463.17,357328.69,1420791.86
10/5/2015,1795966.5,405284.72,2201251.22
10/6/2015,1754169.62,403434.6,2157604.22
10/7/2015,1984589.18,391781.64,2376370.82
10/8/2015,2260987.48,419055.51,2680042.99
10/9/2015,2822507.21,619047.35,3441554.56
10/10/2015,1659882.05,488710.62,2148592.67
10/11/2015,1030355.04,326180.23,1356535.27
10/12/2015,1790106.84,361305.95,2151412.79
10/13/2015,1936142.34,474965.35,2411107.69
10/14/2015,1957357.08,380349.65,2337706.73
10/15/2015,2447072.79,433401.1,2880473.89
10/16/2015,2735518.93,577391.03,3312909.96
10/17/2015,1661365.71,481821,2143186.71
10/18/2015,1141014.89,352437.64,1493452.53
10/19/2015,1885366.14,411631.47,2296997.61
10/20/2015,1890228.75,459254.42,2349483.17
10/21/2015,2141306.24,457610.3,2598916.54
10/22/2015,2360881.34,411695.47,2772576.81
10/23/2015,2758596.35,591649.34,3350245.69
10/24/2015,1617777.64,503865.6,2121643.24
10/25/2015,1177010.15,358258.5,1535268.65
10/26/2015,1857920.88,387229.93,2245150.81
10/27/2015,1851895.79,443200.96,2295096.75
10/28/2015,2242838.06,380448.23,2623286.29
10/29/2015,2476291.48,431384.94,2907676.42
10/30/2015,2851163.16,637877.95,3489041.11
10/31/2015,1621574.33,516829.74,2138404.07
11/1/2015,1106337.57,345700.08,1452037.65
11/2/2015,1802771.89,393442.41,2196214.3
11/3/2015,1735553.3,426117.63,2161670.93
11/4/2015,1957682.82,395526.43,2353209.25
11/5/2015,2311311.7,446050.79,2757362.49
11/6/2015,2680737.17,610277.11,3291014.28
11/7/2015,1611563.19,496460.57,2108023.76
11/8/2015,1098961.62,349506.95,1448468.57
11/9/2015,2217978.2,389643.29,2607621.49
11/10/2015,1846875.31,415126.35,2262001.66
11/11/2015,2066666.6,396944.52,2463611.12
11/12/2015,2104416.99,413109.24,2517526.23
11/13/2015,2814542.14,593926.61,3408468.75
11/14/2015,1669167.34,500976.7,2170144.04
11/15/2015,1105827.9,361429.33,1467257.23
11/16/2015,1804941.89,383362.3,2188304.19
11/17/2015,1659600.05,346985.26,2006585.31
11/18/2015,2149090.55,386499.45,2535590
11/19/2015,2192356.41,424459.41,2616815.82
11/20/2015,2655584.73,605718.8,3261303.53
11/21/2015,1564507.74,497693.93,2062201.67
11/22/2015,1110215.6,343532.41,1453748.01
11/23/2015,2327919.37,414617.68,2742537.05
11/24/2015,2815458.88,456311.14,3271770.02
11/25/2015,3543271.98,679916.5,4223188.48
11/26/2015,406460.06,117479.04,523939.1
11/27/2015,2339771.94,698113.2,3037885.14
11/28/2015,1442852.49,451049.17,1893901.66
11/29/2015,1008759.26,325456.82,1334216.08
11/30/2015,2293036.9,514038.61,2807075.51
12/1/2015,1749575.73,455340.16,2204915.89
12/2/2015,1858500.79,401330.38,2259831.17
12/3/2015,2195979.62,457701.29,2653680.91
12/4/2015,2759780.99,602775.5,3362556.49
12/5/2015,1604711.56,501267.94,2105979.5
12/6/2015,1377217.45,338335.17,1715552.62
12/7/2015,1932370.4,403896.09,2336266.49
12/8/2015,1765367.38,385738.26,2151105.64
12/9/2015,2174864.93,423150.47,2598015.4
12/10/2015,2326505.27,432196.89,2758702.16
12/11/2015,2592988.02,593989.05,3186977.07
12/12/2015,1733561.73,507598.82,2241160.55
12/13/2015,1030832.06,344687.81,1375519.87
12/14/2015,1694114.39,412202.97,2106317.36
12/15/2015,1748663.35,431945.3,2180608.65
12/16/2015,2102035.64,428699.32,2530734.96
12/17/2015,2155791.76,442931.25,2598723.01
12/18/2015,2669028.83,634633.13,3303661.96
12/19/2015,1681464.28,562266.67,2243730.95
12/20/2015,1454328.19,413481.9,1867810.09
12/21/2015,2163188.28,487507.76,2650696.04
12/22/2015,2424764.39,534332.85,2959097.24
12/23/2015,2785206.45,658971.91,3444178.36
12/24/2015,2031459.06,632985.3,2664444.36
12/25/2015,225607.62,71343.24,296950.86
12/26/2015,1777462.79,618671.44,2396134.23
12/27/2015,1046749.07,357322.99,1404072.06
12/28/2015,1806147.77,467171.29,2273319.06
12/29/2015,2176207.83,485282.12,2661489.95
12/30/2015,2501963.25,518449.22,3020412.47
12/31/2015,2957653.45,864267.41,3821920.86
1/1/2016,1370953.18,362599,1733552.18
1/2/2016,1771843.05,534861.15,2306704.2
1/3/2016,987364.39,344910.55,1332274.94
1/4/2016,2136239.93,448261.14,2584501.07
1/5/2016,2108979.36,459849.35,2568828.71
1/6/2016,2321953.92,434154.17,2756108.09
1/7/2016,2305772.68,452510.9,2758283.58
1/8/2016,2890912.22,643470.47,3534382.69
1/9/2016,1791509.05,542536.36,2334045.41
1/10/2016,1121899.64,352818.84,1474718.48
1/11/2016,2055047.13,414466.17,2469513.3
1/12/2016,2024871.36,412791.98,2437663.34
1/13/2016,2096114.85,419813.38,2515928.23
1/14/2016,2507576.67,458590.42,2966167.09
1/15/2016,3028137.05,663262.01,3691399.06
1/16/2016,1719343.02,535865.22,2255208.24
1/17/2016,1106171.16,360936.27,1467107.43
1/18/2016,1913074.43,427644.51,2340718.94
1/19/2016,2158347,436240.03,2594587.03
1/20/2016,2356813.57,452853.51,2809667.08
1/21/2016,2221202.58,472431.81,2693634.39
1/22/2016,2963255.33,640981.54,3604236.87
1/23/2016,1677430.57,540735.95,2218166.52
1/24/2016,1191022.25,374695.24,1565717.49
1/25/2016,2120536.35,427624.65,2548161
