RETAILERS,,,
License Number,Reporting Period, Total Sales , Excise Tax Due 
413596,1/1/2015 - 1/31/2015," $82,956 "," $20,739 "
414256,1/1/2015 - 1/31/2015," $72,994 "," $18,248 "
414225,1/1/2015 - 1/31/2015," $221,776 "," $55,444 "
414292,1/1/2015 - 1/31/2015," $6,195 "," $1,549 "
414983,1/1/2015 - 1/31/2015," $303,957 "," $75,989 "
410798,1/1/2015 - 1/31/2015," $180,270 "," $45,067 "
415361,1/1/2015 - 1/31/2015," $3,431 ", $858 
413319,1/1/2015 - 1/31/2015," $579,944 "," $144,986 "
414520,1/1/2015 - 1/31/2015," $232,607 "," $58,152 "
413314,1/1/2015 - 1/31/2015," $76,065 "," $19,016 "
413558,1/1/2015 - 1/31/2015," $192,431 "," $48,108 "
413481,1/1/2015 - 1/31/2015," $96,820 "," $24,205 "
412921,1/1/2015 - 1/31/2015," $89,748 "," $22,437 "
